image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,welcome_text.stopped,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/51_Jackie_Chan_0006.jpg,non_target,3,0,3,0,0,49,49,97,,,,,,,,,,,,,,623.4926024999877,623.4926024999877,623.9920057999843,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/39_Jim_Parsons_0010.jpg,non_target,3,0,3,0,0,50,50,0,,,,,,,,,,,,,,624.4938882999995,624.4938882999995,624.9930248999735,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/36_Neil_Patrick_Harris_0010.jpg,non_target,3,0,3,0,0,51,51,79,,,,,,,,,,,,,,625.4925178999838,625.4925178999838,625.9940108999726,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/17_Margot_Robbie_0012.jpg,non_target,3,0,3,0,0,52,52,67,,,,,,,,,,,,,,626.4957261999953,626.4957261999953,626.9951893999823,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/44_Will_Smith_0006.jpg,non_target,3,0,3,0,0,53,53,41,,,,,,,,,,,,,,627.4954803999863,627.4954803999863,627.9960996999871,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/17_Daniel_Radcliffe_0007.jpg,target,3,0,3,0,0,54,54,19,,,,,,,,,,,,,,628.5031612999737,628.5031612999737,628.997149999981,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/21_Daniel_Radcliffe_0009.jpg,target,3,0,3,0,0,55,55,83,,,,,,,,,,,,,,629.5038713999966,629.5038713999966,629.9983382999781,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/58_Jackie_Chan_0005.jpg,non_target,3,0,3,0,0,56,56,3,,,,,,,,,,,,,,630.4996576999838,630.4996576999838,630.9994516999868,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/16_Emma_Stone_0008.jpg,non_target,3,0,3,0,0,57,57,48,,,,,,,,,,,,,,631.5013159999799,631.5013159999799,632.0007537999772,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
Celebs/22_Emma_Watson_0010.jpg,non_target,3,0,3,0,0,58,58,11,,,,,,,,,,,,,,632.5013037999743,632.5013037999743,633.0014620999864,,,,,,,1,003,21,Deitado,2023-06-17_11h59.25.654,face_recognition_ERP_protocol,2022.2.5,60.09200085778801,
