image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,trialImage.stopped,polygon.stopped,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/38_Neil_Patrick_Harris_0006.jpg,non_target,0,0,0,0,0,26,26,31,,,,,,,,,,,,,151.48275239998475,151.48275239998475,151.98522529998445,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/54_Jackie_Chan_0001.jpg,non_target,0,0,0,0,0,27,27,7,,,,,,,,,,,,,152.48644829998375,152.48644829998375,152.98623959999532,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/14_Emma_Watson_0013.jpg,non_target,0,0,0,0,0,28,28,20,,,,,,,,,,,,,153.4829230000032,153.4829230000032,153.98340430000098,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/21_Daniel_Radcliffe_0009.jpg,target,0,0,0,0,0,29,29,83,,,,,,,,,,,,,154.4856848999916,154.4856848999916,154.9716409999819,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/21_Margot_Robbie_0003.jpg,non_target,0,0,0,0,0,30,30,27,,,,,,,,,,,,,155.50174599999445,155.50174599999445,155.9855099999986,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/57_Jackie_Chan_0010.jpg,non_target,0,0,0,0,0,31,31,62,,,,,,,,,,,,,156.4882348999963,156.4882348999963,156.9739377000078,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/50_Jackie_Chan_0012.jpg,non_target,0,0,0,0,0,32,32,43,,,,,,,,,,,,,157.48723189998418,157.48723189998418,157.9711047000019,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/57_Jackie_Chan_0008.jpg,non_target,0,0,0,0,0,33,33,72,,,,,,,,,,,,,158.48820769999293,158.48820769999293,158.97206759999972,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/19_Margot_Robbie_0001.jpg,non_target,0,0,0,0,0,34,34,51,,,,,,,,,,,,,159.47244250000222,159.47244250000222,159.973218500003,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
Celebs/14_Emma_Watson_0005.jpg,non_target,0,0,0,0,0,35,35,26,,,,,,,,,,,,,160.47538669998175,160.47538669998175,160.97833690000698,,,,,,,,,1,009,21,SentadoSom,2023-06-17_13h21.11.047,face_recognition_ERP_protocol,2022.2.5,59.96548387342429,
