image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/25_Scarlett_Johansson_0010.jpg,non_target,0,0,0,0,0,35,35,32,,,,,,,,,,,,163.564486999996,163.564486999996,164.0649112999963,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/39_Jim_Parsons_0004.jpg,non_target,0,0,0,0,0,36,36,88,,,,,,,,,,,,164.56587849999778,164.56587849999778,165.06600839999737,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/50_Johnny_Depp_0018.jpg,non_target,0,0,0,0,0,37,37,24,,,,,,,,,,,,165.56639529997483,165.56639529997483,166.06706969998777,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/38_Will_Smith_0013.jpg,non_target,0,0,0,0,0,38,38,13,,,,,,,,,,,,166.56751939997775,166.56751939997775,167.0681370999955,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/29_Scarlett_Johansson_0016.jpg,non_target,0,0,0,0,0,39,39,2,,,,,,,,,,,,167.56908219997422,167.56908219997422,168.06932459998643,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/17_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,40,40,17,,,,,,,,,,,,168.56959069997538,168.56959069997538,169.07037919998402,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/16_Emma_Stone_0014.jpg,non_target,0,0,0,0,0,41,41,40,,,,,,,,,,,,169.57087820000015,169.57087820000015,170.07146399997873,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/21_Emma_Stone_0002.jpg,non_target,0,0,0,0,0,42,42,103,,,,,,,,,,,,170.5720924999914,170.5720924999914,171.07256629999029,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/48_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,43,43,55,,,,,,,,,,,,171.57310969999526,171.57310969999526,172.0736418000015,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/23_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,44,44,77,,,,,,,,,,,,172.57437299998128,172.57437299998128,173.0747310000006,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/22_Scarlett_Johansson_0005.jpg,non_target,0,0,0,0,0,45,45,44,,,,,,,,,,,,173.5751961999922,173.5751961999922,174.07590209998307,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/54_Jackie_Chan_0001.jpg,non_target,0,0,0,0,0,46,46,7,,,,,,,,,,,,174.57674809999298,174.57674809999298,175.07697449999978,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/20_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,47,47,116,,,,,,,,,,,,175.5608456999762,175.5608456999762,176.06134069999098,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/19_Emma_Stone_0006.jpg,non_target,0,0,0,0,0,48,48,66,,,,,,,,,,,,176.5618695000012,176.5618695000012,177.0624422999972,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/48_Johnny_Depp_0005.jpg,non_target,0,0,0,0,0,49,49,54,,,,,,,,,,,,177.56313579998096,177.56313579998096,178.06353249997483,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/50_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,50,50,39,,,,,,,,,,,,178.56436969997594,178.56436969997594,179.06464909997885,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
Celebs/35_Neil_Patrick_Harris_0009.jpg,non_target,0,0,0,0,0,51,51,87,,,,,,,,,,,,179.5653257999802,179.5653257999802,180.06576889997814,,,,,,1,006,21,Sentado,2023-06-17_12h42.29.068,face_recognition_ERP_protocol,2022.2.5,59.93525794027772,
