image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,text.started,closedEyes_text.started,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,blank_text.stopped,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/14_Emma_Watson_0005.jpg,non_target,0,0,0,0,0,48,48,25,,,,,,,,,94.97743019997142,94.97743019997142,95.45960719999857,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/43_Will_Smith_0006.jpg,non_target,0,0,0,0,0,49,49,60,,,,,,,,,95.96069710003212,95.96069710003212,96.46062120003626,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/24_Scarlett_Johansson_0011.jpg,non_target,0,0,0,0,0,50,50,98,,,,,,,,,96.97716729994863,96.97716729994863,97.46199610002805,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/15_Margot_Robbie_0012.jpg,non_target,0,0,0,0,0,51,51,80,,,,,,,,,97.97826320002787,97.97826320002787,98.46281629998703,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/14_Emma_Watson_0013.jpg,non_target,0,0,0,0,0,52,52,19,,,,,,,,,98.98159260000102,98.98159260000102,99.46401390002575,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/48_Johnny_Depp_0001.jpg,non_target,0,0,0,0,0,53,53,104,,,,,,,,,99.9820532000158,99.9820532000158,100.46532229997683,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/17_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,54,54,16,,,,,,,,,100.96562459995039,100.96562459995039,101.46590279997326,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/37_Will_Smith_0015.jpg,non_target,0,0,0,0,0,55,55,111,,,,,,,,,101.98465200001374,101.98465200001374,102.46704260003753,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/54_Jackie_Chan_0001.jpg,non_target,0,0,0,0,0,56,56,7,,,,,,,,,102.9841970000416,102.9841970000416,103.46815940004308,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/16_Emma_Stone_0008.jpg,non_target,0,0,0,0,0,57,57,47,,,,,,,,,103.9695337000303,103.9695337000303,104.46937679999974,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/48_Johnny_Depp_0005.jpg,non_target,0,0,0,0,0,58,58,53,,,,,,,,,104.98572710005101,104.98572710005101,105.4703188999556,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/23_Emma_Stone_0014.jpg,non_target,0,0,0,0,0,59,59,11,,,,,,,,,105.97144510003272,105.97144510003272,106.47156089998316,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/33_Jim_Parsons_0011.jpg,non_target,0,0,0,0,0,60,60,33,,,,,,,,,106.98781500000041,106.98781500000041,107.47284079995006,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/22_Scarlett_Johansson_0005.jpg,non_target,0,0,0,0,0,61,61,43,,,,,,,,,107.98889799998142,107.98889799998142,108.47380260005593,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/16_Margot_Robbie_0009.jpg,non_target,0,0,0,0,0,62,62,105,,,,,,,,,108.98995570000261,108.98995570000261,109.45804890000727,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/50_Johnny_Depp_0008.jpg,non_target,0,0,0,0,0,63,63,82,,,,,,,,,109.95922520000022,109.95922520000022,110.45936099998653,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/50_Jackie_Chan_0012.jpg,non_target,0,0,0,0,0,64,64,42,,,,,,,,,110.9966089000227,110.9966089000227,111.46028690005187,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/21_Daniel_Radcliffe_0008.jpg,target,0,0,0,0,0,65,65,15,,,,,,,,,111.97905099997297,111.97905099997297,112.46151960000861,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/39_Jim_Parsons_0010.jpg,non_target,0,0,0,0,0,66,66,0,,,,,,,,,112.9809275000589,112.9809275000589,113.46163779997732,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/43_Will_Smith_0007.jpg,non_target,0,0,0,0,0,67,67,73,,,,,,,,,113.96293959999457,113.96293959999457,114.46277720003854,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/39_Jim_Parsons_0008.jpg,non_target,0,0,0,0,0,68,68,87,,,,,,,,,114.96389640006237,114.96389640006237,115.46387079998385,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/23_Daniel_Radcliffe_0010.jpg,target,0,0,0,0,0,69,69,14,,,,,,,,,115.98033669998404,115.98033669998404,116.46491129999049,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/38_Will_Smith_0013.jpg,non_target,0,0,0,0,0,70,70,12,,,,,,,,,116.98144819994923,116.98144819994923,117.4660145000089,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/43_Will_Smith_0010.jpg,non_target,0,0,0,0,0,71,71,21,,,,,,,,,117.96716580004431,117.96716580004431,118.46715150005184,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/29_Scarlett_Johansson_0016.jpg,non_target,0,0,0,0,0,72,72,2,,,,,,,,,118.96818460000213,118.96818460000213,119.46825619996525,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/17_Daniel_Radcliffe_0007.jpg,target,0,0,0,0,0,73,73,18,,,,,,,,,119.96926809998695,119.96926809998695,120.46924020000733,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/55_Jackie_Chan_0003.jpg,non_target,0,0,0,0,0,74,74,28,,,,,,,,,120.97036040003877,120.97036040003877,121.47040130000096,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/21_Emma_Stone_0003.jpg,non_target,0,0,0,0,0,75,75,24,,,,,,,,,121.9714586000191,121.9714586000191,122.47149919997901,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/51_Jackie_Chan_0006.jpg,non_target,0,0,0,0,0,76,76,95,,,,,,,,,122.97258499998134,122.97258499998134,123.47259170003235,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/57_Jackie_Chan_0008.jpg,non_target,0,0,0,0,0,77,77,71,,,,,,,,,123.97387380001601,123.97387380001601,124.47370219998993,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/48_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,78,78,54,,,,,,,,,124.97481150005478,124.97481150005478,125.45809820003342,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/50_Johnny_Depp_0010.jpg,non_target,0,0,0,0,0,79,79,113,,,,,,,,,125.97482380003203,125.97482380003203,126.45919169997796,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/14_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,80,80,13,,,,,,,,,126.96042060002219,126.96042060002219,127.46029790001921,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
Celebs/24_Scarlett_Johansson_0001.jpg,non_target,0,0,0,0,0,81,81,9,,,,,,,,,127.9613833000185,127.9613833000185,128.46136419998948,,,,,,000881hhhhhhhhh,001,,,2023-12-10_18h29.06.041,face_recognition_ERP_protocol,2022.2.5,59.98807439173979,
