image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialImage.stopped,polygon.stopped,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/22_Scarlett_Johansson_0005.jpg,non_target,0,0,0,0,0,26,26,44,,,,,,,,,,,,,98.32195599999977,98.32195599999977,98.81491059999098,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/18_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,27,27,75,,,,,,,,,,,,,99.31581550001283,99.31581550001283,99.8160191999923,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/37_Neil_Patrick_Harris_0014.jpg,non_target,0,0,0,0,0,28,28,37,,,,,,,,,,,,,100.32420360000106,100.32420360000106,100.81715610000538,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/21_Margot_Robbie_0003.jpg,non_target,0,0,0,0,0,29,29,27,,,,,,,,,,,,,101.32598590000998,101.32598590000998,101.81832379999105,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/24_Daniel_Radcliffe_0017.jpg,target,0,0,0,0,0,30,30,71,,,,,,,,,,,,,102.32714859998669,102.32714859998669,102.8027662000095,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/32_Jim_Parsons_0016.jpg,non_target,0,0,0,0,0,31,31,102,,,,,,,,,,,,,103.30354150000494,103.30354150000494,103.80389919999288,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/45_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,32,32,108,,,,,,,,,,,,,104.31113389998791,104.31113389998791,104.80497349999496,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/18_Daniel_Radcliffe_0008.jpg,target,0,0,0,0,0,33,33,28,,,,,,,,,,,,,105.32221350001055,105.32221350001055,105.80614259999129,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/24_Scarlett_Johansson_0011.jpg,non_target,0,0,0,0,0,34,34,100,,,,,,,,,,,,,106.31306899999618,106.31306899999618,106.80720370000927,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/50_Johnny_Depp_0010.jpg,non_target,0,0,0,0,0,35,35,115,,,,,,,,,,,,,107.31578229999286,107.31578229999286,107.80836130000534,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/22_Emma_Stone_0013.jpg,non_target,0,0,0,0,0,36,36,1,,,,,,,,,,,,,108.31879950000439,108.31879950000439,108.80947969999397,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/19_Emma_Stone_0006.jpg,non_target,0,0,0,0,0,37,37,66,,,,,,,,,,,,,109.31023719999939,109.31023719999939,109.81144910000148,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/18_Emma_Stone_0016.jpg,non_target,0,0,0,0,0,38,38,52,,,,,,,,,,,,,110.31926849999581,110.31926849999581,110.8117590000038,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/39_Jim_Parsons_0004.jpg,non_target,0,0,0,0,0,39,39,88,,,,,,,,,,,,,111.31832019999274,111.31832019999274,111.81291440001223,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/23_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,40,40,77,,,,,,,,,,,,,112.32166240000515,112.32166240000515,112.8140071000089,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
Celebs/43_Will_Smith_0007.jpg,non_target,0,0,0,0,0,41,41,74,,,,,,,,,,,,,113.31480210000882,113.31480210000882,113.815125299996,,,,,,,1,003,21,Male,2023-05-02_16h36.18.150,face_recognition_ERP_protocol,2022.2.5,59.91590203427807,
