image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,goodbye_text.started,goodbye_text.stopped,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/19_Margot_Robbie_0004.jpg,non_target,0,0,0,0,0,33,33,42,,,,,,,,,,,,,115.37972179998178,115.37972179998178,115.87961890001316,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/20_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,34,34,35,,,,,,,,,,,,,116.38084060000256,116.38084060000256,116.88076999998884,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/37_Will_Smith_0015.jpg,non_target,0,0,0,0,0,35,35,113,,,,,,,,,,,,,117.3819775999873,117.3819775999873,117.88181319995783,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/21_Emma_Stone_0002.jpg,non_target,0,0,0,0,0,36,36,103,,,,,,,,,,,,,118.38327049999498,118.38327049999498,118.8829265999957,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/47_Johnny_Depp_0004.jpg,non_target,0,0,0,0,0,37,37,76,,,,,,,,,,,,,119.38412179995794,119.38412179995794,119.88396820001071,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/14_Emma_Watson_0008.jpg,non_target,0,0,0,0,0,38,38,36,,,,,,,,,,,,,120.38553629996022,120.38553629996022,120.88510730001144,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/26_Scarlett_Johansson_0003.jpg,non_target,0,0,0,0,0,39,39,105,,,,,,,,,,,,,121.38618309999583,121.38618309999583,121.88615119998576,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/17_Daniel_Radcliffe_0007.jpg,target,0,0,0,0,0,40,40,19,,,,,,,,,,,,,122.38752180000301,122.38752180000301,122.88726649997989,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/38_Will_Smith_0013.jpg,non_target,0,0,0,0,0,41,41,13,,,,,,,,,,,,,123.39022729999851,123.39022729999851,123.88841969997156,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/22_Margot_Robbie_0010.jpg,non_target,0,0,0,0,0,42,42,18,,,,,,,,,,,,,124.38971049996326,124.38971049996326,124.8894861000008,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/43_Will_Smith_0006.jpg,non_target,0,0,0,0,0,43,43,61,,,,,,,,,,,,,125.39091429999098,125.39091429999098,125.89057569997385,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/23_Daniel_Radcliffe_0010.jpg,target,0,0,0,0,0,44,44,15,,,,,,,,,,,,,126.39154719997896,126.39154719997896,126.8916506000096,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/18_Daniel_Radcliffe_0002.jpg,target,0,0,0,0,0,45,45,119,,,,,,,,,,,,,127.39301579998573,127.39301579998573,127.89276289998088,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/18_Emma_Watson_0004.jpg,non_target,0,0,0,0,0,46,46,75,,,,,,,,,,,,,128.3941451999708,128.3941451999708,128.87719199998537,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/50_Johnny_Depp_0008.jpg,non_target,0,0,0,0,0,47,47,84,,,,,,,,,,,,,129.37883529998362,129.37883529998362,129.87826879997738,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/36_Neil_Patrick_Harris_0007.jpg,non_target,0,0,0,0,0,48,48,5,,,,,,,,,,,,,130.37964920001104,130.37964920001104,130.87932519998867,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/39_Jim_Parsons_0008.jpg,non_target,0,0,0,0,0,49,49,89,,,,,,,,,,,,,131.38041859999066,131.38041859999066,131.88047209999058,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/22_Emma_Watson_0001.jpg,non_target,0,0,0,0,0,50,50,58,,,,,,,,,,,,,132.38253709999844,132.38253709999844,132.8815595000051,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/15_Margot_Robbie_0012.jpg,non_target,0,0,0,0,0,51,51,82,,,,,,,,,,,,,133.38264749996597,133.38264749996597,133.8826984000043,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/38_Jim_Parsons_0003.jpg,non_target,0,0,0,0,0,52,52,53,,,,,,,,,,,,,134.38384959998075,134.38384959998075,134.8837257999694,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/16_Emma_Stone_0010.jpg,non_target,0,0,0,0,0,53,53,95,,,,,,,,,,,,,135.3851039999863,135.3851039999863,135.88482259999728,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/43_Will_Smith_0010.jpg,non_target,0,0,0,0,0,54,54,22,,,,,,,,,,,,,136.3861084000091,136.3861084000091,136.8858892999706,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/22_Emma_Stone_0013.jpg,non_target,0,0,0,0,0,55,55,1,,,,,,,,,,,,,137.38688399997773,137.38688399997773,137.88699410000117,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/20_Emma_Stone_0005.jpg,non_target,0,0,0,0,0,56,56,63,,,,,,,,,,,,,138.38835279998602,138.38835279998602,138.8881204999634,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/50_Johnny_Depp_0010.jpg,non_target,0,0,0,0,0,57,57,115,,,,,,,,,,,,,139.38913699996192,139.38913699996192,139.8902448999579,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/54_Jackie_Chan_0001.jpg,non_target,0,0,0,0,0,58,58,7,,,,,,,,,,,,,140.3901734999963,140.3901734999963,140.8903607999673,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/47_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,59,59,9,,,,,,,,,,,,,141.3916787999915,141.3916787999915,141.89140929997666,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
Celebs/21_Scarlett_Johansson_0007.jpg,non_target,0,0,0,0,0,60,60,118,,,,,,,,,,,,,142.39283440000145,142.39283440000145,142.89248169999337,,,,,,,000639,001,,,2023-06-02_17h03.38.764,face_recognition_ERP_protocol,2022.2.5,59.857622647763755,
