image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,eye_text.stopped,text.started,text.stopped,closedEyes_text.started,beep.started,closedEyes_text.stopped,trialImage.started,polygon.started,blank_text.started,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,goodbye_text.started,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/16_Emma_Stone_0010.jpg,non_target,0,0,0,0,0,48,48,8,,,,,,,,,,,,,157.0287718999998,157.0287718999998,157.52939109999988,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/21_Daniel_Radcliffe_0009.jpg,target,0,0,0,0,0,49,49,32,,,,,,,,,,,,,158.02967239999998,158.02967239999998,158.5304056,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/38_Jim_Parsons_0003.jpg,non_target,0,0,0,0,0,50,50,75,,,,,,,,,,,,,159.03092199999992,159.03092199999992,159.5316386999998,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/24_Scarlett_Johansson_0001.jpg,non_target,0,0,0,0,0,51,51,51,,,,,,,,,,,,,160.03336869999976,160.03336869999976,160.53256929999998,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/39_Jim_Parsons_0004.jpg,non_target,0,0,0,0,0,52,52,79,,,,,,,,,,,,,161.03431890000002,161.03431890000002,161.53368339999997,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/55_Jackie_Chan_0015.jpg,non_target,0,0,0,0,0,53,53,116,,,,,,,,,,,,,162.03420579999965,162.03420579999965,162.53485299999966,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/21_Emma_Stone_0002.jpg,non_target,0,0,0,0,0,54,54,34,,,,,,,,,,,,,163.0353667999998,163.0353667999998,163.53593980000005,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/48_Johnny_Depp_0003.jpg,non_target,0,0,0,0,0,55,55,101,,,,,,,,,,,,,164.0373227,164.0373227,164.53696039999977,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/18_Daniel_Radcliffe_0007.jpg,target,0,0,0,0,0,56,56,18,,,,,,,,,,,,,165.0373282999999,165.0373282999999,165.53816029999962,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/26_Scarlett_Johansson_0003.jpg,non_target,0,0,0,0,0,57,57,54,,,,,,,,,,,,,166.03849589999982,166.03849589999982,166.53923719999966,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
Celebs/24_Scarlett_Johansson_0011.jpg,non_target,0,0,0,0,0,58,58,52,,,,,,,,,,,,,167.03988729999992,167.03988729999992,167.5403683999998,,,,,,3,001,25,Male,2023-04-28_18h16.13.595,face_recognition_ERP_protocol,2022.2.5,59.93450357464808,
