image,stimulus,trial_block.thisRepN,trial_block.thisTrialN,trial_block.thisN,trial_block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,welcome_text.started,instructions_text.started,spacebar_key.started,spacebar_key.keys,spacebar_key.rt,eye_text.started,text.started,closedEyes_text.started,trialImage.started,polygon.started,blank_text.started,blank_text.stopped,trialBlockText.started,new_trialblock.started,new_trialblock.keys,new_trialblock.rt,participant,session,age,gender,date,expName,psychopyVersion,frameRate,
Celebs/26_Scarlett_Johansson_0003.jpg,non_target,0,0,0,0,0,27,27,103,,,,,,,,,54.943030999973416,54.943030999973416,55.428525600000285,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/43_Will_Smith_0007.jpg,non_target,0,0,0,0,0,28,28,73,,,,,,,,,55.94810379995033,55.94810379995033,56.429280500044115,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/18_Daniel_Radcliffe_0007.jpg,target,0,0,0,0,0,29,29,79,,,,,,,,,56.94559120002668,56.94559120002668,57.430358799989335,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/35_Neil_Patrick_Harris_0009.jpg,non_target,0,0,0,0,0,30,30,85,,,,,,,,,57.93044679996092,57.93044679996092,58.43156930000987,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/37_Neil_Patrick_Harris_0014.jpg,non_target,0,0,0,0,0,31,31,36,,,,,,,,,58.948384599993005,58.948384599993005,59.43211659998633,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/45_Will_Smith_0014.jpg,non_target,0,0,0,0,0,32,32,58,,,,,,,,,59.93256059999112,59.93256059999112,60.41675730003044,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/24_Scarlett_Johansson_0011.jpg,non_target,0,0,0,0,0,33,33,98,,,,,,,,,60.934164399979636,60.934164399979636,61.41798090003431,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/21_Daniel_Radcliffe_0012.jpg,target,0,0,0,0,0,34,34,115,,,,,,,,,61.93473590002395,61.93473590002395,62.41931959998328,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/16_Emma_Stone_0014.jpg,non_target,0,0,0,0,0,35,35,39,,,,,,,,,62.93967180000618,62.93967180000618,63.42004979995545,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/45_Will_Smith_0010.jpg,non_target,0,0,0,0,0,36,36,68,,,,,,,,,63.93952410004567,63.93952410004567,64.42113370005973,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/43_Will_Smith_0006.jpg,non_target,0,0,0,0,0,37,37,60,,,,,,,,,64.94013400003314,64.94013400003314,65.42225689999759,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/17_Emma_Watson_0006.jpg,non_target,0,0,0,0,0,38,38,88,,,,,,,,,65.93945509998593,65.93945509998593,66.42322710005101,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/23_Daniel_Radcliffe_0019.jpg,target,0,0,0,0,0,39,39,6,,,,,,,,,66.9399125999771,66.9399125999771,67.42440899997018,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/50_Johnny_Depp_0010.jpg,non_target,0,0,0,0,0,40,40,113,,,,,,,,,67.94093929999508,67.94093929999508,68.42563289997634,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/16_Emma_Stone_0008.jpg,non_target,0,0,0,0,0,41,41,47,,,,,,,,,68.9459857000038,68.9459857000038,69.42652750003617,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/33_Jim_Parsons_0011.jpg,non_target,0,0,0,0,0,42,42,33,,,,,,,,,69.94603959994856,69.94603959994856,70.42812409996986,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/20_Margot_Robbie_0006.jpg,non_target,0,0,0,0,0,43,43,34,,,,,,,,,70.94436510000378,70.94436510000378,71.42870369995944,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
Celebs/20_Scarlett_Johansson_0011.jpg,non_target,0,0,0,0,0,44,44,107,,,,,,,,,71.94620060001034,71.94620060001034,72.43032970000058,,,,,,000547wwwwwww,001,,,2023-12-10_18h35.48.872,face_recognition_ERP_protocol,2022.2.5,59.89020925510503,
